School,Conference,ProjectedPoints,NumberOfProspects
Ohio State,Big Ten,207,15
Miami (FL),ACC,153,14
Clemson,ACC,151,16
Texas A&M,SEC,138,22
Alabama,SEC,131,13
Indiana,Big Ten,129,15
Georgia,SEC,120,13
Oregon,Big Ten,111,12
Texas Tech,Big 12,110,12
Penn State,Big Ten,102,15
Notre Dame,FBS - Independent,101,12
Tennessee,SEC,92,12
LSU,SEC,87,14
Arizona State,Big 12,81,13
Utah,Big 12,80,8
USC,Big Ten,70,9
Iowa,Big Ten,65,12
Florida,SEC,65,11
Auburn,SEC,62,8
Texas,SEC,61,13
Oklahoma,SEC,59,12
Missouri,SEC,59,9
Michigan,Big Ten,57,12
Washington,Big Ten,54,5
Cincinnati,Big 12,46,5
Illinois,Big Ten,44,10
South Carolina,SEC,43,11
Arkansas,SEC,41,7
Ole Miss,SEC,35,10
Toledo,FBS - MAC,34,4
Kentucky,SEC,31,12
TCU,Big 12,30,8
Vanderbilt,SEC,29,9
Duke,ACC,27,6
UCF,Big 12,25,5
Baylor,Big 12,24,7
Louisville,ACC,24,5
Arizona,Big 12,23,5
Kansas State,Big 12,22,3
San Diego State,FBS - Mountain West,21,2
Georgia Tech,ACC,19,6
Florida State,ACC,18,9
NC State,ACC,18,7
North Dakota State,FCS,18,3
Kansas,Big 12,17,9
Iowa State,Big 12,17,3
Nebraska,Big Ten,16,8
Northwestern,Big Ten,16,6
BYU,Big 12,16,6
Boston College,ACC,16,4
Pitt,ACC,16,3
SMU,ACC,15,13
UConn,FBS - AAC,15,2
Wisconsin,Big Ten,14,8
Stanford,ACC,13,4
North Carolina,ACC,12,6
Wake Forest,ACC,12,3
Mississippi State,SEC,11,5
Boise State,FBS - Mountain West,11,5
Michigan State,Big Ten,10,4
California,ACC,10,4
Navy,FBS - AAC,10,2
Wyoming,FBS - Mountain West,10,2
Georgia State,FBS - Sun Belt,10,1
Virginia,ACC,9,5
Virginia Tech,ACC,8,7
Western Michigan,FBS - MAC,8,4
Houston,Big 12,8,3
UCLA,Big Ten,7,7
Colorado,Big 12,7,6
Stephen F. Austin,FCS,7,2
Southeastern Louisiana,FCS,7,1
Rutgers,Big Ten,6,4
Syracuse,ACC,5,5
Memphis,FBS - AAC,5,5
Buffalo,FBS - MAC,5,1
John Carroll,D3,5,1
Miami (OH),FBS - MAC,4,4
Oregon State,Pac 12,4,4
Tulane,FBS - AAC,4,4
UTSA,FBS - AAC,4,3
Maryland,Big Ten,4,3
Texas State,FBS - Sun Belt,3,3
UNLV,FBS - Mountain West,3,3
West Virginia,Big 12,3,3
Troy,FBS - Sun Belt,3,3
Minnesota,Big Ten,3,2
South Alabama,FBS - Sun Belt,3,2
Incarnate Word,FCS,2,2
Louisiana-Lafayette,FBS - Sun Belt,2,2
James Madison,FBS - Sun Belt,2,2
Purdue,Big Ten,2,2
Fresno State,FBS - Mountain West,2,2
New Mexico,FBS - Mountain West,2,2
Tulsa,FBS - AAC,2,2
Jacksonville State,FBS - CUSA,2,2
Oklahoma State,Big 12,2,2
Florida Atlantic,FBS - AAC,2,2
Youngstown State,FCS,2,2
Massachusetts,FBS - MAC,2,2
Bowling Green,FBS - MAC,2,2
Central Michigan,FBS - MAC,1,1
South Carolina State,FCS,1,1
Montana,FCS,1,1
Slippery Rock,D2,1,1
Florida International,FBS - CUSA,1,1
Southern Miss,FBS - CUSA,1,1
Virginia Union,D2,1,1
Dartmouth,FCS,1,1
Louisiana Tech,FBS - CUSA,1,1
West Alabama,D2,1,1
Western Illinois,FCS,1,1
Charlotte,FBS - AAC,1,1
Hawaii,FBS - Mountain West,1,1
Akron,FBS - MAC,1,1
UAB,FBS - AAC,1,1
McNeese State,FCS,1,1
Delaware State,FCS,1,1
Sacramento State,FCS,1,1
Nicholls State,FCS,1,1
Georgia Southern,FBS - Sun Belt,1,1
San Jose State,FBS - Mountain West,1,1
North Dakota,FCS,1,1
South Dakota State,FCS,1,1
UT Martin,FCS,1,1
Arkansas State,FBS - Sun Belt,1,1
Cal Poly,FCS,1,1
New Mexico State,FBS - CUSA,1,1
Sam Houston State,FBS - CUSA,1,1
Northern Illinois,FBS - MAC,1,1
Old Dominion,FBS - CUSA,1,1
Appalachian State,FBS - Sun Belt,1,1
Virginia State,D2,1,1
Florida A&M,FCS,1,1
Abilene Christian,FCS,1,1
Air Force,FBS - Mountain West,1,1
UC Davis,FCS,1,1
North Texas,FBS - AAC,1,1
East Tennessee State,FCS,1,1
