State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,404,14,90
Ohio,299,8,34
Florida,261,7,43
Indiana,235,3,29
Alabama,199,7,30
South Carolina,195,3,28
Georgia,162,4,21
Tennessee,138,5,28
California,125,10,32
Pennsylvania,118,3,19
Oregon,112,2,16
Arizona,109,2,18
Louisiana,107,7,24
Utah,88,2,14
Michigan,75,4,21
North Carolina,72,6,24
Iowa,72,2,15
Oklahoma,70,3,16
Illinois,62,4,18
Missouri,60,1,9
Kentucky,58,2,17
Washington,52,1,5
Mississippi,48,3,16
Arkansas,42,2,8
Kansas,31,2,12
Virginia,22,6,17
Massachusetts,21,2,6
Maryland,18,2,5
North Dakota,18,2,4
Nebraska,16,1,8
Wisconsin,13,1,8
Connecticut,12,1,2
New York,11,2,6
Idaho,11,1,5
Colorado,8,2,7
Wyoming,7,1,2
New Jersey,5,1,4
New Mexico,3,2,3
Nevada,3,1,3
West Virginia,3,1,3
Minnesota,2,1,2
Montana,1,1,1
New Hampshire,1,1,1
Hawaii,1,1,1
Delaware,1,1,1
South Dakota,1,1,1
