Rank,Player Name,Position,College
1,Fernando Mendoza,QB,Indiana
2,Arvell Reese,LB,Ohio State
3,David Bailey,EDGE,Texas Tech
4,Francis Mauigoa,OT,Miami (FL)
5,Rueben Bain,EDGE,Miami (FL)
6,Jeremiyah Love,RB,Notre Dame
7,Sonny Styles,LB,Ohio State
8,Caleb Downs,S,Ohio State
9,Carnell Tate,WR,Ohio State
10,Spencer Fano,OT,Utah
11,Mansoor Delane,CB,LSU
12,Makai Lemon,WR,USC
13,Monroe Freeling,OT,Georgia
14,Jordyn Tyson,WR,Arizona State
15,Jermod McCoy,CB,Tennessee
16,Olaivavega Ioane,IOL,Penn State
17,Kenyon Sadiq,TE,Oregon
18,Keldric Faulk,EDGE,Auburn
19,Dillon Thieneman,S,Oregon
20,Peter Woods,DL,Clemson
21,Avieon Terrell,CB,Clemson
22,Akheem Mesidor,EDGE,Miami (FL)
23,Kadyn Proctor,OT,Alabama
24,Caleb Banks,DL,Florida
25,Denzel Boston,WR,Washington
26,C.J. Allen,LB,Georgia
27,Caleb Lomu,OT,Utah
28,Kevin Concepcion,WR,Texas A&M
29,Emmanuel McNeil-Warren,S,Toledo
30,T.J. Parker,EDGE,Clemson
31,Cashius Howell,EDGE,Texas A&M
32,Omar Cooper Jr.,WR,Indiana
33,Ty Simpson,QB,Alabama
34,Kayden McDonald,DL,Ohio State
35,Blake Miller,OT,Clemson
36,Colton Hood,CB,Tennessee
37,Max Iheanachor,OT,Arizona State
38,Zion Young,EDGE,Missouri
39,Brandon Cisse,CB,South Carolina
40,Lee Hunter,DL,Texas Tech
41,Emmanuel Pregnon,IOL,Oregon
42,R Mason Thomas,EDGE,Oklahoma
43,Christen Miller,DL,Georgia
44,Anthony Hill Jr.,LB,Texas
45,Chris Johnson,CB,San Diego State
46,Chase Bisontis,IOL,Texas A&M
47,Jacob Rodriguez,LB,Texas Tech
48,Chris Brazzell,WR,Tennessee
49,Eli Stowers,TE,Vanderbilt
50,Jadarian Price,RB,Notre Dame
51,D'angelo Ponds,CB,Indiana
52,Jake Golday,LB,Cincinnati
53,Germie Bernard,WR,Alabama
54,Chris Bell,WR,Louisville
55,Gennings Dunker,OT,Iowa
56,Zachariah Branch,WR,Georgia
57,A.J. Haulcy,S,LSU
58,Gabe Jacas,EDGE,Illinois
59,Malachi Fields,WR,Notre Dame
60,Keith Abney II,CB,Arizona State
61,Derrick Moore,EDGE,Michigan
62,Malachi Lawrence,EDGE,UCF
63,Keionte Scott,CB,Miami (FL)
64,Josiah Trotter,LB,Missouri
65,Caleb Tiernan,OT,Northwestern
66,Domonique Orange,DL,Iowa State
67,Connor Lew,IOL,Auburn
68,Dani Dennis-Sutton,EDGE,Penn State
69,Kamari Ramsey,S,USC
70,Keylan Rutledge,IOL,Georgia Tech
71,Elijah Sarratt,WR,Indiana
72,Mike Washington Jr.,RB,Arkansas
73,Antonio Williams,WR,Clemson
74,Gracen Halton,DL,Oklahoma
75,Max Klare,TE,Ohio State
76,Romello Height,EDGE,Texas Tech
77,Davison Igbinosun,CB,Ohio State
78,Sam Hecht,IOL,Kansas State
79,Zakee Wheatley,S,Penn State
80,Kyle Louis,LB,Pittsburgh
81,Treydan Stukes,CB,Arizona
82,Joshua Josephs,EDGE,Tennessee
83,Garrett Nussmeier,QB,LSU
84,Genesis Smith,S,Arizona
85,Darrell Jackson Jr.,DL,Florida State
86,L.T. Overton,EDGE,Alabama
87,Skyler Bell,WR,UConn
88,Malik Muhammad,CB,Texas
89,Julian Neal,CB,Arkansas
90,Jake Slaughter,IOL,Florida
91,Emmett Johnson,RB,Nebraska
92,Logan Jones,IOL,Iowa
93,Deion Burks,WR,Oklahoma
94,Ted Hurst,WR,Georgia State
95,Chandler Rivers,CB,Duke
96,Jonah Coleman,RB,Washington
97,Daylen Everette,CB,Georgia
