Rank,Player Name,Position,College
1,Fernando Mendoza,QB,Indiana
2,Arvell Reese,LB,Ohio State
3,David Bailey,EDGE,Texas Tech
4,Jeremiyah Love,RB,Notre Dame
5,Sonny Styles,LB,Ohio State
6,Francis Mauigoa,OT,Miami (FL)
7,Caleb Downs,S,Ohio State
8,Carnell Tate,WR,Ohio State
9,Rueben Bain,EDGE,Miami (FL)
10,Mansoor Delane,CB,LSU
11,Spencer Fano,OT,Utah
12,Jordyn Tyson,WR,Arizona State
13,Makai Lemon,WR,USC
14,Monroe Freeling,OT,Georgia
15,Jermod McCoy,CB,Tennessee
16,Olaivavega Ioane,IOL,Penn State
17,Kenyon Sadiq,TE,Oregon
18,Dillon Thieneman,S,Oregon
19,Kadyn Proctor,OT,Alabama
20,Keldric Faulk,EDGE,Auburn
21,Akheem Mesidor,EDGE,Miami (FL)
22,Omar Cooper Jr.,WR,Indiana
23,Kevin Concepcion,WR,Texas A&M
24,Emmanuel McNeil-Warren,S,Toledo
25,Denzel Boston,WR,Washington
26,Caleb Lomu,OT,Utah
27,Blake Miller,OT,Clemson
28,Peter Woods,DL,Clemson
29,Kayden McDonald,DL,Ohio State
30,Max Iheanachor,OT,Arizona State
31,T.J. Parker,EDGE,Clemson
32,Ty Simpson,QB,Alabama
33,Colton Hood,CB,Tennessee
34,Avieon Terrell,CB,Clemson
35,Cashius Howell,EDGE,Texas A&M
36,C.J. Allen,LB,Georgia
37,Chris Johnson,CB,San Diego State
38,Zion Young,EDGE,Missouri
39,Malachi Lawrence,EDGE,UCF
40,Chase Bisontis,IOL,Texas A&M
41,Caleb Banks,DL,Florida
42,Jacob Rodriguez,LB,Texas Tech
43,Jadarian Price,RB,Notre Dame
44,Emmanuel Pregnon,IOL,Oregon
45,Brandon Cisse,CB,South Carolina
46,Christen Miller,DL,Georgia
47,R Mason Thomas,EDGE,Oklahoma
48,Anthony Hill Jr.,LB,Texas
49,Eli Stowers,TE,Vanderbilt
50,D'angelo Ponds,CB,Indiana
51,Keylan Rutledge,IOL,Georgia Tech
52,Lee Hunter,DL,Texas Tech
53,Gabe Jacas,EDGE,Illinois
54,Treydan Stukes,CB,Arizona
55,Chris Bell,WR,Louisville
56,Germie Bernard,WR,Alabama
57,Chris Brazzell,WR,Tennessee
58,Jake Golday,LB,Cincinnati
59,A.J. Haulcy,S,LSU
60,Derrick Moore,EDGE,Michigan
61,Josiah Trotter,LB,Missouri
62,Gennings Dunker,OT,Iowa
63,Mike Washington Jr.,RB,Arkansas
64,Keionte Scott,CB,Miami (FL)
65,Zachariah Branch,WR,Georgia
66,Domonique Orange,DL,Iowa State
67,Caleb Tiernan,OT,Northwestern
68,Keith Abney II,CB,Arizona State
69,Ted Hurst,WR,Georgia State
70,Connor Lew,IOL,Auburn
71,Antonio Williams,WR,Clemson
72,Max Klare,TE,Ohio State
73,Dani Dennis-Sutton,EDGE,Penn State
74,Kyle Louis,LB,Pittsburgh
75,Elijah Sarratt,WR,Indiana
76,Malachi Fields,WR,Notre Dame
77,Gracen Halton,DL,Oklahoma
78,Romello Height,EDGE,Texas Tech
79,Joshua Josephs,EDGE,Tennessee
80,Skyler Bell,WR,UConn
81,Bud Clark,S,TCU
82,Oscar Delp,TE,Georgia
83,Garrett Nussmeier,QB,LSU
84,Davison Igbinosun,CB,Ohio State
85,Keyron Crawford,EDGE,Auburn
86,Sam Hecht,IOL,Kansas State
87,Jaishawn Barham,LB,Michigan
88,Jalon Kilgore,S,South Carolina
89,Bryce Lance,WR,North Dakota State
90,Malik Muhammad,CB,Texas
91,De'Zhaun Stribling,WR,Mississippi
92,Zakee Wheatley,S,Penn State
93,Kamari Ramsey,S,USC
94,Darrell Jackson Jr.,DL,Florida State
95,Logan Jones,IOL,Iowa
96,Jonah Coleman,RB,Washington
